,Name,Image,Price,Link
0,Oversized Thin Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/6320/product/XLhoops.png?1546532178,275,mejuri.com/shop/products/oversized-thin-hoops
1,Large Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/7854/product/large-hoops-cc.png?1559654753,85,mejuri.com/shop/products/large-hoops
2,Between Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/7813/product/between-hoops-cc.png?1559245066,65,mejuri.com/shop/products/between-hoops
3,Small Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/7879/product/small-hoops-cc.png?1559655859,50,mejuri.com/shop/products/small-hoops
4,Spiral Earrings,https://dto508s2j2p46.cloudfront.net/system/spree/products/9869/product/p52505557_Spiral_Earring_YG_both.png?1574627797,125,mejuri.com/shop/products/spiral-earrings
5,Bold Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/10046/product/bold-hoops-cc.png?1574720686,150,mejuri.com/shop/products/bold-hoops
6,Sapphire Twin Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9910/product/sapphier-twin-hoops-cc.png?1574648256,190,mejuri.com/shop/products/sapphire-twin-hoops
7,Twin Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9911/product/twin-hoops-cc.png?1574648289,160,mejuri.com/shop/products/twin-hoops
8,Beaded Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9865/product/p52506267_Beaded_Hoops_YG_both.png?1574627595,140,mejuri.com/shop/products/beaded-hoops-2
9,Turquoise Line Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9880/product/p52705245_Turquoise_Line_Hoops_YG_both.png?1574628543,220,mejuri.com/shop/products/turquoise-line-hoops
10,Editor Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9948/product/editor-hoops-cc.png?1574695978,70,mejuri.com/shop/products/editor-hoops
11,Boyfriend Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9915/product/boyfriend-hoops-cc-v3.png?1574655547,60,mejuri.com/shop/products/boyfriend-hoops
12,Boyfriend Mini Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9993/product/boyfriend-mini-hoops-cc.png?1574701042,50,mejuri.com/shop/products/boyfriend-mini-hoops
13,Dôme Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9997/product/dome-hoops-cc.png?1574701522,60,mejuri.com/shop/products/dome-hoops
14,Croissant Dôme Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/9974/product/Croissant_Vermeil_Hoops.png?1574699074,65,mejuri.com/shop/products/croissant-dome-hoops
15,Large Croissant Dome Hoops,https://dto508s2j2p46.cloudfront.net/system/spree/products/10265/product/p52705817_CroissantLargeHoops_V_both.png?1577203347,80,mejuri.com/shop/products/large-croissant-dome-hoops
